,Atomic_no,Symbol,Smt,RCov,,
,1,H  ,2.20,0.31,,
,2,He ,0.00,0.28,,
,3,Li ,0.97,1.28,,
,4,Be ,1.47,0.96,,
,5,B  ,2.01,0.84,,
,6,C  ,2.50,0.76,,
,7,N  ,3.07,0.71,,
,8,O  ,3.50,0.66,,
,9,F  ,4.10,0.57,,
,10,Ne ,0.00,0.58,,
,11,Na ,1.01,1.66,,
,12,Mg ,1.23,1.41,,
,13,Al ,1.47,1.21,,
,14,Si ,1.74,1.11,,
,15,P  ,2.06,1.07,,
,16,S  ,2.44,1.05,,
,17,Cl ,2.83,1.02,,
,18,Ar ,0.00,1.06,,
,19,K  ,0.91,2.03,,
,20,Ca ,1.04,1.76,,
,21,Sc ,1.20,1.70,,
,22,Ti ,1.32,1.60,,
,23,V  ,1.45,1.53,,
,24,Cr ,1.56,1.39,,
,25,Mn ,1.60,1.39,,
,26,Fe ,1.64,1.32,,
,27,Co ,1.70,1.26,,
,28,Ni ,1.75,1.24,,
,29,Cu ,1.75,1.32,,
,30,Zn ,1.66,1.22,,
,31,Ga ,1.82,1.22,,
,32,Ge ,2.02,1.20,,
,33,As ,2.20,1.19,,
,34,Se ,2.48,1.20,,
,35,Br ,2.74,1.20,,
,36,Kr ,0.00,1.16,,
,37,Rb ,0.89,2.20,,
,38,Sr ,0.99,1.95,,
,39,Y  ,1.11,1.90,,
,40,Zr ,1.22,1.75,,
,41,Nb ,1.23,1.64,,
,42,Mo ,1.30,1.54,,
,43,Tc ,1.36,1.47,,
,44,Ru ,1.42,1.46,,
,45,Rh ,1.45,1.42,,
,46,Pd ,1.35,1.39,,
,47,Ag ,1.42,1.45,,
,48,Cd ,1.46,1.44,,
,49,In ,1.49,1.42,,
,50,Sn ,1.72,1.39,,
,51,Sb ,1.82,1.39,,
,52,Te ,2.01,1.38,,
,53,I  ,2.21,1.39,,
,54,Xe ,0.00,1.40,,
,55,Cs ,0.86,2.44,,
,56,Ba ,0.97,2.15,,
,57,La ,1.08,2.07,,
,58,Ce ,0.00,2.04,,
,59,Pr ,0.00,2.03,,
,60,Nd ,0.00,2.01,,
,61,Pm ,0.00,1.99,,
,62,Sm ,0.00,1.98,,
,63,Eu ,0.00,1.98,,
,64,Gd ,0.00,1.96,,
,65,Tb ,0.00,1.94,,
,66,Dy ,0.00,1.92,,
,67,Ho ,0.00,1.92,,
,68,Er ,0.00,1.89,,
,69,Tm ,0.00,1.90,,
,70,Yb ,0.00,1.87,,
,71,Lu ,0.00,1.87,,
,72,Hf ,1.23,1.75,,
,73,Ta ,1.33,1.70,,
,74,W  ,1.40,1.62,,
,75,Re ,1.46,1.51,,
,76,Os ,1.52,1.44,,
,77,Ir ,1.55,1.41,,
,78,Pt ,1.44,1.36,,
,79,Au ,1.42,1.36,,
,80,Hg ,1.44,1.32,,
,81,Tl ,1.44,1.45,,
,82,Pb ,1.55,1.46,,
,83,Bi ,1.67,1.48,,
,84,Po ,1.76,1.40,,
,85,At ,1.90,1.50,,
,86,Rn ,0.00,1.50,,
,87,Fr ,0.00,2.60,,
,88,Ra ,0.00,2.21,,
,89,Ac ,0.00,2.15,,
,90,Th ,0.00,2.06,,
,91,Pa ,0.00,2.00,,
,92,U  ,0.00,1.96,,
,93,Np ,0.00,1.90,,
,94,Pu ,0.00,1.87,,
,95,Am ,0.00,1.80,,
,96,Cm ,0.00,1.69,,
,97,Bk ,0.00,1.60,,
,98,Cf ,0.00,1.60,,
,99,Es ,0.00,1.60,,
,100,Fm ,0.00,1.60,,
,101,Md ,0.00,1.60,,
,102,No ,0.00,1.60,,
,103,Lr ,0.00,1.60,,
,104,Rf ,0.00,1.60,,
,105,Db ,0.00,1.60,,
,106,Sg ,0.00,1.60,,
,107,Bh ,0.00,1.60,,
,108,Hs ,0.00,1.60,,
,109,Mt ,0.00,1.60,,
,110,Ds ,0.00,1.60,,
,111,Rg ,0.00,1.60,,
,112,Cn ,0.00,1.60,,
,113,Nh ,0.00,1.60,,
,114,Fl ,0.00,1.60,,
,115,Mc ,0.00,1.60,,
,116,Lv ,0.00,1.60,,
,117,Ts ,0.00,1.60,,
,118,Og ,0.00,1.60,,
