Atomic No,Synbol,RCov,RBO,RVDW,Atomic Mass,Outershell Electrons
1,H,0.23,0.33,1.2,1.008,1
2,He,0.93,0.7,1.4,4.003,2
3,Li,0.68,1.23,2.2,6.941,1
4,Be,0.35,0.9,1.9,9.012,2
5,B,0.83,0.82,1.8,10.812,3
6,C,0.68,0.77,1.7,12.011,4
7,N,0.68,0.7,1.6,14.007,5
8,O,0.68,0.66,1.55,15.999,6
9,F,0.64,0.611,1.5,18.998,7
10,Ne,1.12,0.7,1.54,20.18,8
11,Na,0.97,1.54,2.4,22.99,1
12,Mg,1.1,1.36,2.2,24.305,2
13,Al,1.35,1.18,2.1,26.982,3
14,Si,1.2,0.937,2.1,28.086,4
15,P,0.75,0.89,1.95,30.974,5
16,S,1.02,1.04,1.8,32.067,6
17,Cl,0.99,0.997,1.8,35.453,7
18,Ar,1.57,1.74,1.88,39.948,8
19,K,1.33,2.03,2.8,39.098,1
20,Ca,0.99,1.74,2.4,40.078,2
21,Sc,1.44,1.44,2.3,44.956,3
22,Ti,1.47,1.32,2.15,47.867,4
23,V,1.33,1.22,2.05,50.942,5
24,Cr,1.35,1.18,2.05,51.996,6
25,Mn,1.35,1.17,2.05,54.938,7
26,Fe,1.34,1.17,2.05,55.845,8
27,Co,1.33,1.16,2,58.933,9
28,Ni,1.5,1.15,2,58.693,10
29,Cu,1.52,1.17,2,63.546,11
30,Zn,1.45,1.25,2.1,65.39,2
31,Ga,1.22,1.26,2.1,69.723,3
32,Ge,1.17,1.188,2.1,72.61,4
33,As,1.21,1.2,2.05,74.922,5
34,Se,1.22,1.17,1.9,78.96,6
35,Br,1.21,1.167,1.9,79.904,7
36,Kr,1.91,1.91,2.02,83.8,8
37,Rb,1.47,2.16,2.9,85.468,1
38,Sr,1.12,1.91,2.55,87.62,2
39,Y,1.78,1.62,2.4,88.906,3
40,Zr,1.56,1.45,2.3,91.224,4
41,Nb,1.48,1.34,2.15,92.906,5
42,Mo,1.47,1.3,2.1,95.94,6
43,Tc,1.35,1.27,2.05,98,7
44,Ru,1.4,1.25,2.05,101.07,8
45,Rh,1.45,1.25,2,102.906,9
46,Pd,1.5,1.28,2.05,106.42,10
47,Ag,1.59,1.34,2.1,107.868,11
48,Cd,1.69,1.48,2.2,112.412,2
49,In,1.63,1.44,2.2,114.818,3
50,Sn,1.46,1.385,2.25,118.711,4
51,Sb,1.46,1.4,2.2,121.76,5
52,Te,1.47,1.378,2.1,127.6,6
53,I,1.4,1.387,2.1,126.904,7
54,Xe,1.98,1.98,2.16,131.29,8
55,Cs,1.67,2.35,3,132.905,1
56,Ba,1.34,1.98,2.7,137.328,2
57,La,1.87,1.69,2.5,138.906,3
58,Ce,1.83,1.83,2.48,140.116,4
59,Pr,1.82,1.82,2.47,140.908,3
60,Nd,1.81,1.81,2.45,144.24,4
61,Pm,1.8,1.8,2.43,145,5
62,Sm,1.8,1.8,2.42,150.36,6
63,Eu,1.99,1.99,2.4,151.964,7
64,Gd,1.79,1.79,2.38,157.25,8
65,Tb,1.76,1.76,2.37,158.925,9
66,Dy,1.75,1.75,2.35,162.5,10
67,Ho,1.74,1.74,2.33,164.93,11
68,Er,1.73,1.73,2.32,167.26,12
69,Tm,1.72,1.72,2.3,168.934,13
70,Yb,1.94,1.94,2.28,173.04,14
71,Lu,1.72,1.72,2.27,174.967,15
72,Hf,1.57,1.44,2.25,178.49,4
73,Ta,1.43,1.34,2.2,180.948,5
74,W,1.37,1.3,2.1,183.84,6
75,Re,1.35,1.28,2.05,186.207,7
76,Os,1.37,1.26,2,190.23,8
77,Ir,1.32,1.27,2,192.217,9
78,Pt,1.5,1.3,2.05,195.078,10
79,Au,1.5,1.34,2.1,196.967,11
80,Hg,1.7,1.49,2.05,200.59,2
81,Tl,1.55,1.48,2.2,204.383,3
82,Pb,1.54,1.48,2.3,207.2,4
83,Bi,1.54,1.45,2.3,208.98,5
84,Po,1.68,1.46,2,209,6
85,At,1.7,1.45,2,210,7
86,Rn,2.4,2.4,2,222,8
87,Fr,2,2,2,223,1
88,Ra,1.9,1.9,2,226,2
89,Ac,1.88,1.88,2,227,3
90,Th,1.79,1.79,2.4,232.038,4
91,Pa,1.61,1.61,2,231.036,3
92,U,1.58,1.58,2.3,238.029,4
93,Np,1.55,1.55,2,237,5
94,Pu,1.53,1.53,2,244,6
95,Am,1.51,1.07,2,243,7
96,Cm,1.5,0,2,247,8
97,Bk,1.5,0,2,247,9
98,Cf,1.5,0,2,251,10
99,Es,1.5,0,2,252,11
100,Fm,1.5,0,2,257,12
101,Md,1.5,0,2,258,13
102,No,1.5,0,2,259,14
103,Lr,1.5,0,2,262,15
104,Rf,1.57,0,2,267,2
105,Db,1.49,0,2,268,2
106,Sg,1.43,0,2,269,2
107,Bh,1.41,0,2,270,2
108,Hs,1.34,0,2,269,2
109,Mt,1.29,0,2,278,2
110,Ds,1.28,0,2,281,2
111,Rg,1.21,0,2,281,2
112,Cn,1.22,0,2,285,2
113,Nh,1.36,0,2,284,2
114,Fl,1.43,0,2,289,2
115,Mc,1.62,0,2,288,2
116,Lv,1.75,0,2,293,2
117,Ts,1.65,0,2,292,2
118,Og,1.57,0,2,294,2
