# Atom1,Atom2,Rcov1,Rcov2,Covalent,DiffSkin,DiffWithoutSkin
Ac,O,2.15,0.66,2.7326,-0.5274,-0.0774
Ac,F,2.15,0.57,2.5865,-0.5835,-0.1335
Ac,Cl,2.15,1.02,3.0865,-0.5335,-0.0835
Ac,Br,2.15,1.2,3.2273,-0.5727,-0.1227
Ag,O,1.45,0.66,2.8114,0.2514,0.7014
Ag,S,1.45,1.05,3.0884,0.1384,0.5884
Ag,F,1.45,0.57,2.7694,0.2994,0.7494
Ag,Cl,1.45,1.02,3.0594,0.1394,0.5894
Ag,Br,1.45,1.2,2.3764,-0.7236,-0.2736
Ag,I,1.45,1.39,2.5364,-0.7536,-0.3036
Ag,Se,1.45,1.2,3.2,0.1,0.55
Ag,Te,1.45,1.38,2.6664,-0.6136,-0.1636
Ag,N,1.45,0.71,2.0064,-0.6036,-0.1536
Ag,P,1.45,1.07,2.3764,-0.5936,-0.1436
Ag,As,1.45,1.19,2.4564,-0.6336,-0.1836
Ag,H,1.45,0.31,1.6564,-0.5536,-0.1036
Al,O,1.21,0.66,2.1074,-0.2126,0.2374
Al,S,1.21,1.05,2.6665,-0.0435,0.4065
Al,Se,1.21,1.2,2.7265,-0.1335,0.3165
Al,Te,1.21,1.38,2.9365,-0.1035,0.3465
Al,F,1.21,0.57,2.0015,-0.2285,0.2215
Al,Cl,1.21,1.02,2.4885,-0.1915,0.2585
Al,Br,1.21,1.2,2.6565,-0.2035,0.2465
Al,I,1.21,1.39,2.8665,-0.1835,0.2665
Al,N,1.21,0.71,2.2465,-0.1235,0.3265
Al,P,1.21,1.07,2.6965,-0.0335,0.4165
Al,As,1.21,1.19,2.7565,-0.0935,0.3565
Al,H,1.21,0.31,1.9065,-0.0635,0.3865
Am,O,1.8,0.66,2.7165,-0.1935,0.2565
Am,F,1.8,0.57,2.6194,-0.2006,0.2494
Am,Cl,1.8,1.02,3.0894,-0.1806,0.2694
Am,Br,1.8,1.2,3.2294,-0.2206,0.2294
As,S,1.19,1.05,2.8465,0.1565,0.6065
As,Se,1.19,1.2,2.9865,0.1465,0.5965
As,O,1.19,0.66,2.2455,-0.0545,0.3955
As,Te,1.19,1.38,3.1065,0.0865,0.5365
As,F,1.19,0.57,2.1565,-0.0535,0.3965
As,Cl,1.19,1.02,2.6165,-0.0435,0.4065
As,Br,1.19,1.2,2.8065,-0.0335,0.4165
As,I,1.19,1.39,3.0365,0.0065,0.4565
As,C,1.19,0.76,2.3865,-0.0135,0.4365
Au,Cl,1.36,1.02,2.883,0.053,0.503
Au,I,1.36,1.39,3.213,0.013,0.463
Au,O,1.36,0.66,2.3465,-0.1235,0.3265
Au,S,1.36,1.05,2.8326,-0.0274,0.4226
Au,F,1.36,0.57,2.3465,-0.0335,0.4165
Au,Br,1.36,1.2,2.7765,-0.2335,0.2165
Au,N,1.36,0.71,2.3826,-0.1374,0.3126
Au,Se,1.36,1.2,2.23,-0.78,-0.33
Au,Te,1.36,1.38,2.46,-0.73,-0.28
Au,P,1.36,1.07,2.19,-0.69,-0.24
Au,As,1.36,1.19,2.27,-0.73,-0.28
Au,H,1.36,0.31,1.42,-0.7,-0.25
B,O,0.84,0.66,1.8275,-0.1225,0.3275
B,S,0.84,1.05,2.2765,-0.0635,0.3865
B,Se,0.84,1.2,2.4065,-0.0835,0.3665
B,Te,0.84,1.38,2.6565,-0.0135,0.4365
B,F,0.84,0.57,1.7665,-0.0935,0.3565
B,Cl,0.84,1.02,2.1965,-0.1135,0.3365
B,Br,0.84,1.2,2.3365,-0.1535,0.2965
B,I,0.84,1.39,2.5565,-0.1235,0.3265
B,N,0.84,0.71,1.9385,-0.0615,0.3885
B,P,0.84,1.07,2.3765,0.0165,0.4665
B,As,0.84,1.19,2.4265,-0.0535,0.3965
B,H,0.84,0.31,1.5965,-0.0035,0.4465
B,B,0.84,0.84,1.8585,-0.2715,0.1785
Ba,O,2.15,0.66,3.1479,-0.1121,0.3379
Ba,S,2.15,1.05,3.662,0.0119,0.4619
Ba,Se,2.15,1.2,3.743,-0.057,0.393
Ba,Te,2.15,1.38,3.943,-0.037,0.413
Ba,F,2.15,0.57,3.051,-0.1191,0.331
Ba,Cl,2.15,1.02,3.553,-0.0671,0.383
Ba,Br,2.15,1.2,3.743,-0.057,0.393
Ba,I,2.15,1.39,3.993,0.0029,0.453
Ba,N,2.15,0.71,3.333,0.0229,0.473
Ba,P,2.15,1.07,3.483,-0.187,0.263
Ba,As,2.15,1.19,3.69,-0.1,0.35
Ba,H,2.15,0.31,3.083,0.1729,0.6229
Be,O,0.96,0.66,1.9875,-0.0825,0.3675
Be,S,0.96,1.05,2.4365,-0.0235,0.4265
Be,Se,0.96,1.2,2.5765,-0.0335,0.4165
Be,Te,0.96,1.38,2.8165,0.0265,0.4765
Be,F,0.96,0.57,1.8875,-0.0925,0.3575
Be,Cl,0.96,1.02,2.3665,-0.0635,0.3865
Be,Br,0.96,1.2,2.5065,-0.1035,0.3465
Be,I,0.96,1.39,2.7065,-0.0935,0.3565
Be,N,0.96,0.71,2.1065,-0.0135,0.4365
Be,P,0.96,1.07,2.5565,0.0765,0.5265
Be,As,0.96,1.19,2.6065,0.0065,0.4565
Be,H,0.96,0.31,1.7165,-0.0035,0.4465
Bi,O,1.48,0.66,2.6608,0.0708,0.5208
Bi,S,1.48,1.05,3.1329,0.1529,0.6029
Bi,Se,1.48,1.2,3.5,0.37,0.82
Bi,F,1.48,0.57,2.5529,0.0529,0.5029
Bi,Cl,1.48,1.02,3.0429,0.0929,0.5429
Bi,Br,1.48,1.2,3.1799,0.0499,0.4999
Bi,I,1.48,1.39,3.3829,0.0629,0.5129
Bi,N,1.48,0.71,2.5633,-0.0767,0.3733
Bi,Te,1.48,1.38,3.0264,-0.2836,0.1664
Bi,P,1.48,1.07,2.7864,-0.2136,0.2364
Bi,As,1.48,1.19,2.8764,-0.2436,0.2064
Bi,H,1.48,0.31,2.1264,-0.1136,0.3364
Bk,O,1.6,0.66,2.6433,-0.0667,0.3833
Bk,F,1.6,0.57,2.5423,-0.0777,0.3723
Bk,Cl,1.6,1.02,3.0229,-0.0471,0.4029
Bk,Br,1.6,1.2,3.1523,-0.0977,0.3523
Br,O,1.2,0.66,2.3565,0.0465,0.4965
Br,F,1.2,0.57,2.2065,-0.0135,0.4365
Br,Cl,1.2,1.02,2.333,-0.337,0.113
C,O,0.76,0.66,1.9725,0.1025,0.5525
C,Cl,0.76,1.02,2.11,-0.12,0.33
C,C,0.76,0.76,1.89,-0.08,0.37
C,S,0.76,1.05,2.15,-0.11,0.34
C,F,0.76,0.57,1.76,-0.02,0.43
C,Br,0.76,1.2,2.26,-0.15,0.3
C,N,0.76,0.71,1.792,-0.128,0.322
C,Se,0.76,1.2,2.02,-0.39,0.06
C,I,0.76,1.39,2.17,-0.43,0.02
C,Te,0.76,1.38,2.26,-0.33,0.12
C,P,0.76,1.07,1.94,-0.34,0.11
C,H,0.76,0.31,1.2,-0.32,0.13
Ca,O,1.76,0.66,2.8306,-0.0394,0.4106
Ca,S,1.76,1.05,3.313,0.0529,0.5029
Ca,Se,1.76,1.2,3.423,0.013,0.463
Ca,Te,1.76,1.38,3.623,0.033,0.483
Ca,F,1.76,0.57,2.705,-0.0751,0.375
Ca,Cl,1.76,1.02,3.233,0.0029,0.453
Ca,Br,1.76,1.2,3.37,-0.0401,0.4099
Ca,I,1.76,1.39,3.583,-0.0171,0.4329
Ca,N,1.76,0.71,3.0029,0.0829,0.533
Ca,P,1.76,1.07,3.413,0.1329,0.5829
Ca,As,1.76,1.19,3.483,0.0829,0.533
Ca,H,1.76,0.31,2.693,0.173,0.623
Cd,O,1.44,0.66,2.767,0.2169,0.6669
Cd,S,1.44,1.05,3.167,0.2269,0.6769
Cd,Se,1.44,1.2,3.263,0.173,0.623
Cd,Te,1.44,1.38,3.453,0.1829,0.633
Cd,F,1.44,0.57,2.674,0.214,0.664
Cd,Cl,1.44,1.02,3.093,0.1829,0.633
Cd,Br,1.44,1.2,3.213,0.123,0.573
Cd,I,1.44,1.39,3.463,0.1829,0.633
Cd,N,1.44,0.71,2.823,0.223,0.673
Cd,P,1.44,1.07,3.203,0.243,0.693
